Stock Name,Symbol,Sector,Industry Name,Exchange, ISIN NUMBER
Edelweiss Financial Services Ltd.,EDELWEISS,Finance,Finance - NBFC,NSE,INE532F01054
MAS Financial Services Ltd.,MASFIN,Finance,Finance - NBFC,NSE,INE348L01012
Fedbank Financial Services Ltd,FEDFINA,Finance,Finance - NBFC,NSE,INE007N01010
Northern ARC Capital Ltd.,NORTHARC,Finance,Finance - NBFC,NSE,INE850M01015
Indostar Capital Finance Ltd.,INDOSTAR,Finance,Finance - NBFC,NSE,INE896L01010
Paisalo Digital Ltd.,PAISALO,Finance,Finance - NBFC,NSE,INE420C01059
Muthoot Microfin Ltd.,MUTHOOTMF,Finance,Finance - NBFC,NSE,INE046W01019
Ugro Capital Ltd.,UGROCAP,Finance,Finance - NBFC,NSE,INE583D01011
Fusion Finance Ltd.,FUSION,Finance,Finance - NBFC,NSE,INE139R01012
Spandana Sphoorty Financial Ltd.,SPANDANA,Finance,Finance - NBFC,NSE,INE572J01011
SG Finserve Ltd.,SGFIN,Finance,Finance - NBFC,NSE,INE618R01015
PTC India Financial Services Ltd.,PFS,Finance,Finance - NBFC,NSE,INE560K01014
Summit Securities Ltd.,SUMMITSEC,Finance,Finance - NBFC,NSE,INE519C01017
Arman Financial Services Ltd.,ARMANFIN,Finance,Finance - NBFC,NSE,INE109C01017
PNB Gilts Ltd.,PNBGILTS,Finance,Finance - NBFC,NSE,INE859A01011
Master Trust Ltd.,MASTERTR,Finance,Finance - NBFC,NSE,INE677D01037
Finkurve Financial Services Ltd.,FINKURVE,Finance,Finance - NBFC,NSE,INE734I01027
Vardhman Holdings Ltd.,VHL,Finance,Finance - NBFC,NSE,INE701A01023
Crest Ventures Ltd.,CREST,Finance,Finance - NBFC,NSE,INE559D01011
Abans Financial Services Ltd.,AFSL,Finance,Finance - NBFC,NSE,INE00ZE01026
Sastasundar Ventures Ltd.,SASTASUNDR,Finance,Finance - NBFC,NSE,INE019J01013
CSL Finance Ltd.,CSLFINANCE,Finance,Finance - NBFC,NSE,INE718F01018
