Stock Name,Symbol,Sector,Industry Name,Exchange, ISIN NUMBER
Bajaj Finance Ltd.,BAJFINANCE,Finance,Finance - NBFC,NSE,INE296A01032
JIO Financial Services Ltd.,JIOFIN,Finance,Finance - NBFC,NSE,INE758E01017
Shriram Finance Ltd.,SHRIRAMFIN,Finance,Finance - NBFC,NSE,INE721A01047
Muthoot Finance Ltd.,MUTHOOTFIN,Finance,Finance - NBFC,NSE,INE414G01012
Cholamandalam Investment and Finance Company Ltd.,CHOLAFIN,Finance,Finance - NBFC,NSE,INE121A01024
Tata Capital Ltd.,TATACAP,Finance,Finance - NBFC,NSE,INE976I01016
Bajaj Holdings & Investment Ltd.,BAJAJHLDNG,Finance,Finance - NBFC,NSE,INE118A01012
Aditya Birla Capital Ltd.,ABCAPITAL,Finance,Finance - NBFC,NSE,INE674K01013
SBI Cards And Payment Services Ltd.,SBICARD,Finance,Finance - NBFC,NSE,INE018E01016
L&T Finance Ltd.,LTF,Finance,Finance - NBFC,NSE,INE498L01015
HDB Financial Services Ltd.,HDBFS,Finance,Finance - NBFC,NSE,INE756I01012
Sundaram Finance Ltd.,SUNDARMFIN,Finance,Finance - NBFC,NSE,INE660A01013
Mahindra & Mahindra Financial Services Ltd.,M&MFIN,Finance,Finance - NBFC,NSE,INE774D01024
Indian Renewable Energy Development Agency Ltd.,IREDA,Finance,Finance - NBFC,NSE,INE202E01016
Poonawalla Fincorp Ltd.,POONAWALLA,Finance,Finance - NBFC,NSE,INE511C01022
Tata Investment Corporation Ltd.,TATAINVEST,Finance,Finance - NBFC,NSE,INE672A01026
Manappuram Finance Ltd.,MANAPPURAM,Finance,Finance - NBFC,NSE,INE522D01027
IIFL Finance Ltd.,IIFL,Finance,Finance - NBFC,NSE,INE530B01024
CreditAccess Grameen Ltd.,CREDITACC,Finance,Finance - NBFC,NSE,INE741K01010
Five-Star Business Finance Ltd.,FIVESTAR,Finance,Finance - NBFC,NSE,INE128S01021
SBFC Finance Ltd.,SBFC,Finance,Finance - NBFC,NSE,INE423Y01016
