fyers_symbol,stock_name,sector,industry,basic_industry
NSE:ALLDIGI-EQ,Alldigi Tech Limited,Services,Commercial Services & Supplies,Business Process Outsourcing (BPO)/ Knowledge Process Outsourcing (KPO)
NSE:ALLTIME-EQ,All Time Plastics Limited,Consumer Durables,Consumer Durables,Houseware
NSE:ALMONDZ-EQ,Almondz Global Securities Limited,Financial Services,Capital Markets,Stockbroking & Allied
NSE:ALOKINDS-EQ,Alok Industries Limited,Textiles,Textiles & Apparels,Other Textile Products
NSE:ALPA-EQ,Alpa Laboratories Limited,Healthcare,Pharmaceuticals & Biotechnology,Pharmaceuticals
NSE:ALPHAGEO-EQ,Alphageo (India) Limited,Oil Gas & Consumable Fuels,Oil,Offshore Support Solution Drilling
NSE:AMAGI-EQ,Amagi Media Labs Limited,Information Technology,IT - Services,IT Enabled Services
NSE:AMANTA-EQ,Amanta Healthcare Limited,Healthcare,Pharmaceuticals & Biotechnology,Pharmaceuticals
NSE:AMBALALSA-EQ,Ambalal Sarabhai Enterprises Limited,Healthcare,Pharmaceuticals & Biotechnology,Pharmaceuticals
NSE:AMBER-EQ,Amber Enterprises India Limited,Consumer Durables,Consumer Durables,Household Appliances
NSE:AMBICAAGAR-EQ,Ambica Agarbathies & Aroma industries Limited,Fast Moving Consumer Goods,Household Products,Household Products
NSE:AMBIKCO-EQ,Ambika Cotton Mills Limited,Textiles,Textiles & Apparels,Other Textile Products
NSE:AMBUJACEM-EQ,Ambuja Cements Limited,Construction Materials,Cement & Cement Products,Cement & Cement Products
NSE:AMDIND-EQ,AMD Industries Limited,Capital Goods,Industrial Products,Packaging
NSE:AMIRCHAND-EQ,Amir Chand Jagdish Kumar (Exports) Limited,Fast Moving Consumer Goods,Agricultural Food & other Products,Other Agricultural Products
NSE:AMJLAND-EQ,Amj Land Holdings Limited,Realty,Realty,Residential Commercial Projects
NSE:AMNPLST-EQ,Amines & Plasticizers Limited,Chemicals,Chemicals & Petrochemicals,Commodity Chemicals
NSE:AMRUTANJAN-EQ,Amrutanjan Health Care Limited,Healthcare,Pharmaceuticals & Biotechnology,Pharmaceuticals
NSE:ANANDRATHI-EQ,Anand Rathi Wealth Limited,Financial Services,Capital Markets,Financial Products Distributor
NSE:ANANTRAJ-EQ,Anant Raj Limited,Realty,Realty,Residential Commercial Projects
NSE:ANDHRAPAP-EQ,ANDHRA PAPER LIMITED,Forest Materials,Paper Forest & Jute Products,Paper & Paper Products
NSE:ANDHRSUGAR-EQ,The Andhra Sugars Limited,Chemicals,Chemicals & Petrochemicals,Commodity Chemicals
NSE:ANGELONE-EQ,Angel One Limited,Financial Services,Capital Markets,Stockbroking & Allied
NSE:ANIKINDS-BE,Anik Industries Limited,Services,Commercial Services & Supplies,Trading & Distributors
NSE:ANKITMETAL-BZ,Ankit Metal & Power Limited,Metals & Mining,Ferrous Metals,Iron & Steel
NSE:ANMOL-EQ,Anmol India Limited,Oil Gas & Consumable Fuels,Consumable Fuels,Trading - Coal
NSE:ANSALAPI-BZ,Ansal Properties & Infrastructure Limited,Realty,Realty,Residential Commercial Projects
NSE:ANTELOPUS-EQ,Antelopus Selan Energy Limited,Oil Gas & Consumable Fuels,Oil,Oil Exploration & Production
NSE:ANTGRAPHIC-EQ,Antarctica Limited,Capital Goods,Industrial Products,Packaging
NSE:ANTHEM-EQ,Anthem Biosciences Limited,Healthcare,Pharmaceuticals & Biotechnology,Biotechnology
NSE:ANUHPHR-EQ,Anuh Pharma Limited,Healthcare,Pharmaceuticals & Biotechnology,Pharmaceuticals
NSE:ANUP-EQ,The Anup Engineering Limited,Capital Goods,Industrial Manufacturing,Industrial Products
NSE:ANURAS-EQ,Anupam Rasayan India Limited,Chemicals,Chemicals & Petrochemicals,Specialty Chemicals
NSE:APARINDS-EQ,Apar Industries Limited,Capital Goods,Electrical Equipment,Other Electrical Equipment
NSE:APCL-EQ,Anjani Portland Cement Limited,Construction Materials,Cement & Cement Products,Cement & Cement Products
NSE:APCOTEXIND-EQ,Apcotex Industries Limited,Capital Goods,Industrial Products,Rubber
NSE:APEX-EQ,Apex Frozen Foods Limited,Fast Moving Consumer Goods,Food Products,Seafood
NSE:APLAPOLLO-EQ,APL Apollo Tubes Limited,Capital Goods,Industrial Products,Iron & Steel Products
NSE:APLLTD-EQ,Alembic Pharmaceuticals Limited,Healthcare,Pharmaceuticals & Biotechnology,Pharmaceuticals
NSE:APOLLO-EQ,Apollo Micro Systems Limited,Capital Goods,Aerospace & Defense,Aerospace & Defense
NSE:APOLLOHOSP-EQ,Apollo Hospitals Enterprise Limited,Healthcare,Healthcare Services,Hospital
NSE:APOLLOPIPE-EQ,Apollo Pipes Limited,Capital Goods,Industrial Products,Plastic Products - Industrial
NSE:APOLLOTYRE-EQ,Apollo Tyres Limited,Automobile and Auto Components,Auto Components,Tyres & Rubber Products
NSE:APOLSINHOT-EQ,Apollo Sindoori Hotels Limited,Consumer Services,Leisure Services,Hotels & Resorts
NSE:APTECHT-EQ,Aptech Limited,Consumer Services,Other Consumer Services,Education
NSE:APTUS-EQ,Aptus Value Housing Finance India Limited,Financial Services,Finance,Housing Finance Company
NSE:AQYLON-EQ,Aqylon Nexus Limited,Media Entertainment & Publication,Entertainment,TV Broadcasting & Software Production
NSE:ARCHIDPLY-EQ,Archidply Industries Limited,Consumer Durables,Consumer Durables,Plywood Boards/ Laminates
NSE:ARCHIES-EQ,Archies Limited,Consumer Durables,Consumer Durables,Leisure Products
NSE:ARE&M-EQ,Amara Raja Energy & Mobility Limited,Automobile and Auto Components,Auto Components,Auto Components & Equipments
NSE:ARENTERP-EQ,Rajdarshan Industries Limited,Metals & Mining,Metals & Minerals Trading,Trading - Minerals
NSE:ARFIN-EQ,Arfin India Limited,Metals & Mining,Non - Ferrous Metals,Aluminium
NSE:ARIES-EQ,Aries Agro Limited,Chemicals,Fertilizers & Agrochemicals,Fertilizers
NSE:ARIHANT-EQ,Arihant Foundations & Housing Limited,Construction,Construction,Residential Commercial Projects
NSE:ARIHANTCAP-EQ,Arihant Capital Markets Limited,Financial Services,Capital Markets,Stockbroking & Allied
NSE:ARIHANTSUP-EQ,Arihant Superstructures Limited,Realty,Realty,Residential Commercial Projects
NSE:ARIS-EQ,Arisinfra Solutions Limited,Construction Materials,Other Construction Materials,Other Construction Materials
NSE:ARKADE-EQ,Arkade Developers Limited,Realty,Realty,Residential Commercial Projects
