fyers_symbol,stock_name,sector,industry,basic_industry
NSE:DALMIASUG-EQ,Dalmia Bharat Sugar and Industries Limited,Fast Moving Consumer Goods,Agricultural Food & other Products,Sugar
NSE:DAMCAPITAL-EQ,Dam Capital Advisors Limited,Financial Services,Capital Markets,Stockbroking & Allied
NSE:DAMODARIND-EQ,Damodar Industries Limited,Textiles,Textiles & Apparels,Other Textile Products
NSE:DANGEE-EQ,Dangee Dums Limited,Fast Moving Consumer Goods,Food Products,Other Food Products
NSE:DATAMATICS-EQ,Datamatics Global Services Limited,Information Technology,IT - Services,IT Enabled Services
NSE:DATAPATTNS-EQ,Data Patterns (India) Limited,Capital Goods,Aerospace & Defense,Aerospace & Defense
NSE:DAVANGERE-EQ,Davangere Sugar Company Limited,Fast Moving Consumer Goods,Agricultural Food & other Products,Other Agricultural Products
NSE:DBCORP-EQ,D.B.Corp Limited,Media Entertainment & Publication,Media,Print Media
NSE:DBEIL-BE,Deepak Builders & Engineers India Limited,Construction,Construction,Civil Construction
NSE:DBL-EQ,Dilip Buildcon Limited,Construction,Construction,Civil Construction
NSE:DBOL-BE,Dhampur Bio Organics Limited,Fast Moving Consumer Goods,Agricultural Food & other Products,Sugar
NSE:DBREALTY-BE,Valor Estate Limited,Realty,Realty,Residential Commercial Projects
NSE:DBSTOCKBRO-EQ,DB (International) Stock Brokers Limited,Financial Services,Capital Markets,Stockbroking & Allied
NSE:DCAL-EQ,Dishman Carbogen Amcis Limited,Healthcare,Pharmaceuticals & Biotechnology,Pharmaceuticals
NSE:DCBBANK-EQ,DCB Bank Limited,Financial Services,Banks,Private Sector Bank
NSE:DCI-BE,Dc Infotech And Communication Limited,Information Technology,IT - Software,Computers - Software & Consulting
NSE:DCM-EQ,DCM  Limited,Information Technology,IT - Services,IT Enabled Services
NSE:DCMFINSERV-BE,DCM Financial Services Limited,Financial Services,Finance,Investment Company
NSE:DCMNVL-BE,DCM Nouvelle Limited,Textiles,Textiles & Apparels,Other Textile Products
NSE:DCMSHRIRAM-EQ,DCM Shriram Limited,Diversified,Diversified,Diversified
NSE:DCMSIL-BE,DCM Shriram International Limited,Textiles,Textiles & Apparels,Other Textile Products
NSE:DCMSRIND-EQ,DCM Shriram Industries Limited,Fast Moving Consumer Goods,Agricultural Food & other Products,Sugar
NSE:DCW-EQ,DCW Limited,Chemicals,Chemicals & Petrochemicals,Petrochemicals
NSE:DCXINDIA-EQ,DCX Systems Limited,Capital Goods,Aerospace & Defense,Aerospace & Defense
NSE:DDEVPLSTIK-EQ,Ddev Plastiks Industries Limited,Chemicals,Chemicals & Petrochemicals,Specialty Chemicals
NSE:DECCANCE-EQ,Deccan Cements Limited,Construction Materials,Cement & Cement Products,Cement & Cement Products
NSE:DECNGOLD-EQ,Deccan Gold Mines Limited,Metals & Mining,Non - Ferrous Metals,Precious Metals
NSE:DEEDEV-BE,DEE Development Engineers Limited,Capital Goods,Industrial Manufacturing,Industrial Products
NSE:DEEPAKFERT-EQ,Deepak Fertilizers and Petrochemicals Corporation Limited,Chemicals,Chemicals & Petrochemicals,Commodity Chemicals
NSE:DEEPAKNTR-EQ,Deepak Nitrite Limited,Chemicals,Chemicals & Petrochemicals,Specialty Chemicals
NSE:DEEPINDS-EQ,Deep Industries Limited,Oil Gas & Consumable Fuels,Oil,Oil Equipment & Services
NSE:DELHIVERY-EQ,Delhivery Limited,Services,Transport Services,Logistics Solution Provider
NSE:DELPHIFX-EQ,DELPHI WORLD MONEY LIMITED,Financial Services,Finance,Other Financial Services
NSE:DELTACORP-EQ,Delta Corp Limited,Consumer Services,Leisure Services,Amusement Parks/ Other Recreation
NSE:DELTAMAGNT-EQ,Delta Manufacturing Limited,Capital Goods,Industrial Products,Other Industrial Products
NSE:DEN-EQ,Den Networks Limited,Media Entertainment & Publication,Entertainment,TV Broadcasting & Software Production
NSE:DENORA-EQ,De Nora India Limited,Capital Goods,Industrial Products,Electrodes & Refractories
NSE:DENTA-EQ,Denta Water and Infra Solutions Limited,Utilities,Other Utilities,Water Supply & Management
NSE:DEVIT-EQ,Dev Information Technology Limited,Information Technology,IT - Services,IT Enabled Services
NSE:DEVX-EQ,Dev Accelerator Limited,Services,Commercial Services & Supplies,Diversified Commercial Services
NSE:DEVYANI-EQ,Devyani International Limited,Consumer Services,Leisure Services,Restaurants
NSE:DGCONTENT-EQ,Digicontent Limited,Media Entertainment & Publication,Media,Advertising & Media Agencies
NSE:DHAMPURSUG-EQ,Dhampur Sugar Mills Limited,Fast Moving Consumer Goods,Agricultural Food & other Products,Sugar
NSE:DHANBANK-EQ,Dhanlaxmi Bank Limited,Financial Services,Banks,Private Sector Bank
NSE:DHANUKA-EQ,Dhanuka Agritech Limited,Chemicals,Fertilizers & Agrochemicals,Pesticides & Agrochemicals
NSE:DHARAN-BZ,DHARAN INFRA-EPC LIMITED,Realty,Realty,Residential Commercial Projects
NSE:DHARMAJ-EQ,Dharmaj Crop Guard Limited,Chemicals,Fertilizers & Agrochemicals,Pesticides & Agrochemicals
NSE:DHRUV-BE,Dhruv Consultancy Services Limited,Services,Commercial Services & Supplies,Consulting Services
NSE:DHUNINV-EQ,Dhunseri Investments Limited,Financial Services,Finance,Non Banking Financial Company (NBFC)
NSE:DIACABS-EQ,Diamond Power Infrastructure Limited,Capital Goods,Electrical Equipment,Other Electrical Equipment
NSE:DIAMINESQ-EQ,Diamines & Chemicals Limited,Chemicals,Chemicals & Petrochemicals,Specialty Chemicals
NSE:DIAMONDYD-EQ,Prataap Snacks Limited,Fast Moving Consumer Goods,Food Products,Packaged Foods
NSE:DICIND-EQ,DIC India Limited,Chemicals,Chemicals & Petrochemicals,Printing Inks
NSE:DIFFNKG-EQ,Diffusion Engineers Limited,Capital Goods,Industrial Products,Other Industrial Products
NSE:DIGIDRIVE-EQ,Digidrive Distributors Limited,Consumer Services,Retailing,E-Retail/ E-Commerce
NSE:DIGISPICE-BE,DiGiSPICE Technologies Limited,Information Technology,IT - Services,IT Enabled Services
NSE:DIGITIDE-EQ,Digitide Solutions Limited,Information Technology,IT - Services,IT Enabled Services
NSE:DIGJAMLMTD-EQ,Digjam Limited,Textiles,Textiles & Apparels,Other Textile Products
NSE:DIL-BZ,Debock Industries Limited,Fast Moving Consumer Goods,Agricultural Food & other Products,Other Agricultural Products
NSE:DISAQ-EQ,Disa India Limited,Capital Goods,Industrial Manufacturing,Industrial Products
NSE:DISHTV-BE,Dish TV India Limited,Media Entertainment & Publication,Entertainment,TV Broadcasting & Software Production
NSE:DIVGIITTS-EQ,Divgi Torqtransfer Systems Limited,Automobile and Auto Components,Auto Components,Auto Components & Equipments
NSE:DIVISLAB-EQ,Divi's Laboratories Limited,Healthcare,Pharmaceuticals & Biotechnology,Pharmaceuticals
NSE:DIXON-EQ,Dixon Technologies (India) Limited,Consumer Durables,Consumer Durables,Consumer Electronics
NSE:DJML-EQ,DJ Mediaprint & Logistics Limited,Services,Transport Services,Logistics Solution Provider
NSE:DLF-EQ,DLF Limited,Realty,Realty,Residential Commercial Projects
NSE:DLINKINDIA-EQ,D-Link (India) Limited,Information Technology,IT - Hardware,Computers Hardware & Equipments
NSE:DMART-EQ,Avenue Supermarts Limited,Consumer Services,Retailing,Diversified Retail
NSE:DMCC-EQ,DMCC SPECIALITY CHEMICALS LIMITED,Chemicals,Chemicals & Petrochemicals,Specialty Chemicals
NSE:DNAMEDIA-EQ,Diligent Media Corporation Limited,Media Entertainment & Publication,Media,Electronic Media
NSE:DODLA-EQ,Dodla Dairy Limited,Fast Moving Consumer Goods,Food Products,Dairy Products
NSE:DOLATALGO-EQ,Dolat Algotech Limited,Financial Services,Capital Markets,Stockbroking & Allied
NSE:DOLLAR-EQ,Dollar Industries Limited,Textiles,Textiles & Apparels,Garments & Apparels
NSE:DOLPHIN-EQ,Dolphin Offshore Enterprises (India) Limited,Oil Gas & Consumable Fuels,Oil,Offshore Support Solution Drilling
NSE:DOMS-EQ,DOMS Industries Limited,Fast Moving Consumer Goods,Household Products,Stationary
NSE:DONEAR-EQ,Donear Industries Limited,Textiles,Textiles & Apparels,Other Textile Products
NSE:DPABHUSHAN-EQ,D. P. Abhushan Limited,Consumer Durables,Consumer Durables,Gems Jewellery And Watches
NSE:DPSCLTD-BE,DPSC Limited,Power,Power,Integrated Power Utilities
NSE:DPWIRES-EQ,D P Wires Limited,Capital Goods,Industrial Products,Iron & Steel Products
NSE:DRAGARWQ-EQ,Dr Agarwals Eye Hospital Limited,Healthcare,Healthcare Services,Hospital
NSE:DRCSYSTEMS-EQ,DRC Systems India Limited,Information Technology,IT - Services,IT Enabled Services
NSE:DREAMFOLKS-EQ,Dreamfolks Services Limited,Services,Transport Infrastructure,Airport & Airport services
NSE:DREDGECORP-EQ,Dredging Corporation of India Limited,Services,Engineering Services,Dredging
NSE:DRREDDY-EQ,Dr. Reddy's Laboratories Limited,Healthcare,Pharmaceuticals & Biotechnology,Pharmaceuticals
NSE:DSFCL-EQ,DCM Shriram Fine Chemicals Limited,Chemicals,Chemicals & Petrochemicals,Specialty Chemicals
NSE:DSSL-EQ,Dynacons Systems & Solutions Limited,Information Technology,IT - Services,IT Enabled Services
NSE:DTIL-EQ,Dhunseri Tea & Industries Limited,Fast Moving Consumer Goods,Agricultural Food & other Products,Tea & Coffee
NSE:DUCON-BE,Ducon Infratechnologies Limited,Capital Goods,Industrial Manufacturing,Industrial Products
NSE:DVL-EQ,Dhunseri Ventures Limited,Capital Goods,Industrial Products,Packaging
NSE:DWARKESH-EQ,Dwarikesh Sugar Industries Limited,Fast Moving Consumer Goods,Agricultural Food & other Products,Sugar
NSE:DYCL-EQ,Dynamic Cables Limited,Capital Goods,Industrial Products,Cables - Electricals
NSE:DYNAMATECH-EQ,Dynamatic Technologies Limited,Capital Goods,Industrial Manufacturing,Industrial Products
NSE:DYNPRO-EQ,Dynemic Products Limited,Chemicals,Chemicals & Petrochemicals,Specialty Chemicals
NSE:E2E-EQ,E2E Networks Limited,Information Technology,IT - Services,IT Enabled Services
NSE:EASEMYTRIP-EQ,Easy Trip Planners Limited,Consumer Services,Leisure Services,Tour Travel Related Services
NSE:EASTSILK-BE,Eastern Silk Industries Limited,Textiles,Textiles & Apparels,Other Textile Products
NSE:EBGNG-EQ,GNG Electronics Limited,Information Technology,IT - Hardware,Computers Hardware & Equipments
NSE:ECLERX-EQ,eClerx Services Limited,Services,Commercial Services & Supplies,Business Process Outsourcing (BPO)/ Knowledge Process Outsourcing (KPO)
NSE:ECOSMOBLTY-BE,Ecos (India) Mobility & Hospitality Limited,Services,Transport Services,Road Transport
NSE:EDELWEISS-EQ,Edelweiss Financial Services Limited,Financial Services,Finance,Holding Company
NSE:EDUCOMP-BZ,Educomp Solutions Limited,Consumer Services,Other Consumer Services,Education
NSE:EFCIL-EQ,EFC (I) Limited,Services,Commercial Services & Supplies,Diversified Commercial Services
NSE:EICHERMOT-EQ,Eicher Motors Limited,Automobile and Auto Components,Automobiles,2/3 Wheelers
NSE:EIDPARRY-EQ,EID Parry India Limited,Fast Moving Consumer Goods,Food Products,Other Food Products
NSE:EIEL-EQ,Enviro Infra Engineers Limited,Utilities,Other Utilities,Water Supply & Management
NSE:EIFFL-EQ,Euro India Fresh Foods Limited,Fast Moving Consumer Goods,Food Products,Packaged Foods
NSE:EIHAHOTELS-EQ,EIH Associated Hotels Limited,Consumer Services,Leisure Services,Hotels & Resorts
NSE:EIHOTEL-EQ,EIH Limited,Consumer Services,Leisure Services,Hotels & Resorts
NSE:EIMCOELECO-EQ,Eimco Elecon (India) Limited,Capital Goods,Industrial Manufacturing,Industrial Products
NSE:EKC-EQ,Everest Kanto Cylinder Limited,Capital Goods,Industrial Manufacturing,Industrial Products
NSE:ELANTAS-EQ,Elantas Beck India Limited,Chemicals,Chemicals & Petrochemicals,Specialty Chemicals
NSE:ELCIDIN-EQ,EL CID Investments Limited,Financial Services,Finance,Investment Company
NSE:ELDEHSG-EQ,Eldeco Housing And Industries Limited,Realty,Realty,Residential Commercial Projects
NSE:ELECON-EQ,Elecon Engineering Company Limited,Capital Goods,Electrical Equipment,Heavy Electrical Equipment
NSE:ELECTCAST-EQ,Electrosteel Castings Limited,Capital Goods,Industrial Products,Iron & Steel Products
NSE:ELECTHERM-EQ,Electrotherm (India) Limited,Capital Goods,Industrial Products,Iron & Steel Products
NSE:ELGIEQUIP-EQ,Elgi Equipments Limited,Capital Goods,Industrial Products,Compressors Pumps & Diesel Engines
NSE:ELGIRUBCO-EQ,Elgi Rubber Company Limited,Capital Goods,Industrial Products,Rubber
NSE:ELIN-EQ,Elin Electronics Limited,Consumer Durables,Consumer Durables,Household Appliances
NSE:ELITECON-EQ,Elitecon International Limited,Fast Moving Consumer Goods,Cigarettes & Tobacco Products,Cigarettes & Tobacco Products
NSE:ELLEN-EQ,Ellenbarrie Industrial Gases Limited,Chemicals,Chemicals & Petrochemicals,Industrial Gases
NSE:ELPROINTL-EQ,Elpro International Limited,Realty,Realty,Residential Commercial Projects
NSE:EMAMILTD-EQ,Emami Limited,Fast Moving Consumer Goods,Personal Products,Personal Care
NSE:EMAMIPAP-EQ,Emami Paper Mills Limited,Forest Materials,Paper Forest & Jute Products,Paper & Paper Products
NSE:EMAMIREAL-BE,Emami Realty Limited,Realty,Realty,Residential Commercial Projects
NSE:EMBDL-EQ,Embassy Developments Limited,Realty,Realty,Residential Commercial Projects
NSE:EMCURE-EQ,Emcure Pharmaceuticals Limited,Healthcare,Pharmaceuticals & Biotechnology,Pharmaceuticals
NSE:EMIL-EQ,Electronics Mart India Limited,Consumer Services,Retailing,Diversified Retail
NSE:EMKAY-EQ,Emkay Global Financial Services Limited,Financial Services,Capital Markets,Stockbroking & Allied
NSE:EMMBI-EQ,Emmbi Industries Limited,Capital Goods,Industrial Products,Packaging
NSE:EMMVEE-EQ,Emmvee Photovoltaic Power Limited,Capital Goods,Electrical Equipment,Other Electrical Equipment
NSE:EMPOWER-BE,Empower India Limited,Information Technology,IT - Software,Computers - Software & Consulting
NSE:EMSLIMITED-EQ,EMS Limited,Utilities,Other Utilities,Waste Management
NSE:EMUDHRA-EQ,eMudhra Limited,Information Technology,IT - Services,IT Enabled Services
NSE:ENDURANCE-EQ,Endurance Technologies Limited,Automobile and Auto Components,Auto Components,Auto Components & Equipments
NSE:ENERGYDEV-EQ,Energy Development Company Limited,Power,Power,Power Generation
NSE:ENGINERSIN-EQ,Engineers India Limited,Construction,Construction,Civil Construction
NSE:ENIL-EQ,Entertainment Network (India) Limited,Media Entertainment & Publication,Entertainment,Media & Entertainment
NSE:ENRIN-EQ,Siemens Energy India Limited,Capital Goods,Electrical Equipment,Heavy Electrical Equipment
NSE:ENTERO-EQ,Entero Healthcare Solutions Limited,Consumer Services,Retailing,Pharmacy Retail
NSE:EPACK-EQ,EPACK Durable Limited,Consumer Durables,Consumer Durables,Household Appliances
NSE:EPACKPEB-EQ,EPack Prefab Technologies Limited,Capital Goods,Industrial Manufacturing,Industrial Products
NSE:EPIGRAL-EQ,Epigral Limited,Chemicals,Chemicals & Petrochemicals,Specialty Chemicals
NSE:EPL-EQ,EPL Limited,Capital Goods,Industrial Products,Packaging
NSE:EQUIPPP-BE,Equippp Social Impact Technologies Limited,Information Technology,IT - Software,Computers - Software & Consulting
NSE:EQUITASBNK-EQ,Equitas Small Finance Bank Limited,Financial Services,Banks,Other Bank
NSE:ERIS-EQ,Eris Lifesciences Limited,Healthcare,Pharmaceuticals & Biotechnology,Pharmaceuticals
NSE:ESABINDIA-EQ,Esab India Limited,Capital Goods,Industrial Products,Other Industrial Products
NSE:ESAFSFB-EQ,ESAF Small Finance Bank Limited,Financial Services,Banks,Other Bank
NSE:ESCORTS-EQ,Escorts Kubota Limited,Capital Goods,Agricultural Commercial & Construction Vehicles,Tractors
NSE:ESSARSHPNG-EQ,Essar Shipping Limited,Services,Transport Services,Shipping
NSE:ESSENTIA-BE,Integra Essentia Limited,Services,Commercial Services & Supplies,Trading & Distributors
NSE:ESTER-EQ,Ester Industries Limited,Capital Goods,Industrial Products,Packaging
NSE:ETERNAL-EQ,ETERNAL LIMITED,Consumer Services,Retailing,E-Retail/ E-Commerce
NSE:ETHOSLTD-EQ,Ethos Limited,Consumer Durables,Consumer Durables,Gems Jewellery And Watches
NSE:EUREKAFORB-EQ,Eureka Forbes Limited,Consumer Durables,Consumer Durables,Household Appliances
NSE:EUROBOND-EQ,Euro Panel Products Limited,Capital Goods,Industrial Products,Aluminium Copper & Zinc Products
NSE:EUROPRATIK-EQ,Euro Pratik Sales Limited,Consumer Durables,Consumer Durables,Furniture Home Furnishing
NSE:EUROTEXIND-EQ,Eurotex Industries and Exports Limited,Realty,Realty,Residential Commercial Projects
NSE:EVEREADY-EQ,Eveready Industries India Limited,Fast Moving Consumer Goods,Household Products,Household Products
NSE:EVERESTIND-EQ,Everest Industries Limited,Construction Materials,Other Construction Materials,Other Construction Materials
NSE:EXCELINDUS-EQ,Excel Industries Limited,Chemicals,Chemicals & Petrochemicals,Specialty Chemicals
NSE:EXCELSOFT-EQ,Excelsoft Technologies Limited,Information Technology,IT - Services,IT Enabled Services
NSE:EXICOM-EQ,Exicom Tele-Systems Limited,Capital Goods,Electrical Equipment,Heavy Electrical Equipment
NSE:EXIDEIND-EQ,Exide Industries Limited,Automobile and Auto Components,Auto Components,Auto Components & Equipments
NSE:EXPLEOSOL-EQ,Expleo Solutions Limited,Information Technology,IT - Services,IT Enabled Services
NSE:EXXARO-EQ,Exxaro Tiles Limited,Consumer Durables,Consumer Durables,Ceramics
NSE:FABTECH-EQ,Fabtech Technologies Limited,Healthcare,Healthcare Equipment & Supplies,Medical Equipment & Supplies
NSE:FACT-EQ,Fertilizers and Chemicals Travancore Limited,Chemicals,Fertilizers & Agrochemicals,Fertilizers
NSE:FAIRCHEMOR-EQ,Fairchem Organics Limited,Chemicals,Chemicals & Petrochemicals,Specialty Chemicals
NSE:FAZE3Q-EQ,Faze Three Limited,Textiles,Textiles & Apparels,Other Textile Products
NSE:FCL-EQ,Fineotex Chemical Limited,Chemicals,Chemicals & Petrochemicals,Specialty Chemicals
NSE:FCONSUMER-BZ,Future Consumer Limited,Consumer Services,Retailing,Diversified Retail
NSE:FCSSOFT-BE,FCS Software Solutions Limited,Information Technology,IT - Services,IT Enabled Services
NSE:FDC-EQ,FDC Limited,Healthcare,Pharmaceuticals & Biotechnology,Pharmaceuticals
NSE:FEDDERSHOL-EQ,Fedders Holding Limited,Financial Services,Finance,Non Banking Financial Company (NBFC)
NSE:FEDERALBNK-EQ,The Federal Bank  Limited,Financial Services,Banks,Private Sector Bank
NSE:FEDFINA-EQ,Fedbank Financial Services Limited,Financial Services,Finance,Non Banking Financial Company (NBFC)
NSE:FEL-BZ,Future Enterprises Limited,Consumer Services,Retailing,Diversified Retail
NSE:FELDVR-BZ,Future Enterprises Limited,Consumer Services,Retailing,Diversified Retail
NSE:FERMENTA-EQ,Fermenta Biotech Limited,Healthcare,Pharmaceuticals & Biotechnology,Pharmaceuticals
NSE:FIBERWEB-EQ,Fiberweb (India) Limited,Textiles,Textiles & Apparels,Other Textile Products
NSE:FIEMIND-EQ,Fiem Industries Limited,Automobile and Auto Components,Auto Components,Auto Components & Equipments
NSE:FILATEX-EQ,Filatex India Limited,Textiles,Textiles & Apparels,Other Textile Products
NSE:FILATFASH-BE,Filatex Fashions Limited,Textiles,Textiles & Apparels,Garments & Apparels
NSE:FINCABLES-EQ,Finolex Cables Limited,Capital Goods,Industrial Products,Cables - Electricals
NSE:FINEORG-EQ,Fine Organic Industries Limited,Chemicals,Chemicals & Petrochemicals,Specialty Chemicals
NSE:FINKURVE-EQ,Finkurve Financial Services Limited,Financial Services,Finance,Non Banking Financial Company (NBFC)
NSE:FINOPB-EQ,Fino Payments Bank Limited,Financial Services,Banks,Other Bank
NSE:FINPIPE-EQ,Finolex Industries Limited,Capital Goods,Industrial Products,Plastic Products - Industrial
NSE:FIRSTCRY-EQ,Brainbees Solutions Limited,Consumer Services,Retailing,E-Retail/ E-Commerce
NSE:FISCHER-EQ,Fischer Medical Ventures Limited,Healthcare,Healthcare Equipment & Supplies,Medical Equipment & Supplies
NSE:FIVESTAR-EQ,Five-Star Business Finance Limited,Financial Services,Finance,Non Banking Financial Company (NBFC)
NSE:FLAIR-EQ,Flair Writing Industries Limited,Fast Moving Consumer Goods,Household Products,Stationary
NSE:FLEXITUFF-EQ,Flexituff Ventures International Limited,Textiles,Textiles & Apparels,Other Textile Products
NSE:FLFL-BZ,Future Lifestyle Fashions Limited,Consumer Services,Retailing,Diversified Retail
NSE:FLUOROCHEM-EQ,Gujarat Fluorochemicals Limited,Chemicals,Chemicals & Petrochemicals,Specialty Chemicals
NSE:FMGOETZE-EQ,Federal-Mogul Goetze (India) Limited.,Automobile and Auto Components,Auto Components,Auto Components & Equipments
NSE:FMNL-BE,Future Market Networks Limited,Services,Commercial Services & Supplies,Diversified Commercial Services
NSE:FOCUS-EQ,Focus Lighting and Fixtures Limited,Consumer Durables,Consumer Durables,Consumer Electronics
NSE:FOODSIN-EQ,Foods & Inns Limited,Fast Moving Consumer Goods,Food Products,Packaged Foods
NSE:FORCEMOT-EQ,FORCE MOTORS LTD,Automobile and Auto Components,Automobiles,Passenger Cars & Utility Vehicles
NSE:FORTIS-EQ,Fortis Healthcare Limited,Healthcare,Healthcare Services,Hospital
NSE:FOSECOIND-EQ,Foseco India Limited,Chemicals,Chemicals & Petrochemicals,Specialty Chemicals
NSE:FRACTAL-EQ,Fractal Analytics Limited,Information Technology,IT - Software,Computers - Software & Consulting
NSE:FRONTSP-EQ,Frontier Springs Limited,Automobile and Auto Components,Auto Components,Auto Components & Equipments
NSE:FSL-EQ,Firstsource Solutions Limited,Services,Commercial Services & Supplies,Business Process Outsourcing (BPO)/ Knowledge Process Outsourcing (KPO)
NSE:FUSION-EQ,Fusion Finance Limited,Financial Services,Finance,Microfinance Institutions
NSE:GABRIEL-EQ,Gabriel India Limited,Automobile and Auto Components,Auto Components,Auto Components & Equipments
NSE:GAEL-EQ,Gujarat Ambuja Exports Limited,Fast Moving Consumer Goods,Agricultural Food & other Products,Other Agricultural Products
NSE:GAIL-EQ,GAIL (India) Limited,Oil Gas & Consumable Fuels,Gas,Gas Transmission/Marketing
NSE:GALAPREC-EQ,Gala Precision Engineering Limited,Capital Goods,Industrial Manufacturing,Industrial Products
NSE:GALAXYSURF-EQ,Galaxy Surfactants Limited,Chemicals,Chemicals & Petrochemicals,Specialty Chemicals
NSE:GALLANTT-EQ,Gallantt Ispat Limited,Capital Goods,Industrial Products,Iron & Steel Products
NSE:GANDHAR-EQ,Gandhar Oil Refinery (India) Limited,Oil Gas & Consumable Fuels,Petroleum Products,Lubricants
NSE:GANDHITUBE-EQ,Gandhi Special Tubes Limited,Capital Goods,Industrial Products,Iron & Steel Products
NSE:GANECOS-EQ,Ganesha Ecosphere Limited,Textiles,Textiles & Apparels,Other Textile Products
NSE:GANESHBE-EQ,Ganesh Benzoplast Limited,Oil Gas & Consumable Fuels,Oil,Oil Storage & Transportation
NSE:GANESHCP-EQ,Ganesh Consumer Products Limited,Fast Moving Consumer Goods,Food Products,Packaged Foods
NSE:GANESHHOU-EQ,GANESH HOUSING LIMITED,Realty,Realty,Residential Commercial Projects
NSE:GANGAFORGE-EQ,Ganga Forging Limited,Capital Goods,Industrial Products,Castings & Forgings
NSE:GANGESSECU-EQ,Ganges Securities Limited,Fast Moving Consumer Goods,Agricultural Food & other Products,Tea & Coffee
NSE:GARFIBRES-EQ,Garware Technical Fibres Limited,Textiles,Textiles & Apparels,Other Textile Products
NSE:GARUDA-EQ,Garuda Construction and Engineering Limited,Realty,Realty,Residential Commercial Projects
NSE:GATECH-EQ,GACM Technologies Limited,Financial Services,Finance,Other Financial Services
NSE:GATECHDVR-EQ,GACM Technologies Limited,Financial Services,Finance,Other Financial Services
NSE:GATEWAY-EQ,Gateway Distriparks Limited,Services,Transport Services,Logistics Solution Provider
NSE:GAUDIUMIVF-BE,Gaudium IVF and Women Health Limited,Healthcare,Healthcare Services,Healthcare Service Provider
NSE:GAYAHWS-EQ,Gayatri Highways Limited,Services,Transport Infrastructure,Road Assets - Toll Annuity Hybrid-Annuity
NSE:GAYAPROJ-BE,Gayatri Projects Limited,Construction,Construction,Civil Construction
NSE:GCSL-EQ,Gretex Corporate Services Limited,Financial Services,Capital Markets,Other Capital Market related Services
NSE:GEECEE-EQ,GeeCee Ventures Limited,Realty,Realty,Residential Commercial Projects
NSE:GEEKAYWIRE-EQ,Geekay Wires Limited,Capital Goods,Industrial Products,Iron & Steel Products
NSE:GEMAROMA-BE,Gem Aromatics Limited,Chemicals,Chemicals & Petrochemicals,Specialty Chemicals
NSE:GENCON-EQ,Generic Engineering Construction and Projects Limited,Realty,Realty,Residential Commercial Projects
NSE:GENESYS-EQ,Genesys International Corporation Limited,Information Technology,IT - Services,IT Enabled Services
NSE:GENSOL-BZ,Gensol Engineering Limited,Construction,Construction,Civil Construction
NSE:GENUSPAPER-EQ,Genus Paper & Boards Limited,Forest Materials,Paper Forest & Jute Products,Paper & Paper Products
NSE:GENUSPOWER-EQ,Genus Power Infrastructures Limited,Capital Goods,Electrical Equipment,Other Electrical Equipment
NSE:GEOJITFSL-EQ,Geojit Financial Services Limited,Financial Services,Capital Markets,Stockbroking & Allied
NSE:GESHIP-EQ,The Great Eastern Shipping Company Limited,Services,Transport Services,Shipping
NSE:GFLLIMITED-EQ,GFL Limited,Financial Services,Finance,Holding Company
NSE:GFSTEELS-BE,Grand Foundry Limited,Capital Goods,Industrial Products,Iron & Steel Products
NSE:GHCL-EQ,GHCL Limited,Chemicals,Chemicals & Petrochemicals,Commodity Chemicals
NSE:GHCLTEXTIL-EQ,GHCL Textiles Limited,Textiles,Textiles & Apparels,Other Textile Products
NSE:GICHSGFIN-EQ,GIC Housing Finance Limited,Financial Services,Finance,Housing Finance Company
NSE:GICL-EQ,Globe International Carriers Limited,Services,Transport Services,Logistics Solution Provider
NSE:GICRE-EQ,General Insurance Corporation of India,Financial Services,Insurance,General Insurance
NSE:GILLANDERS-EQ,Gillanders Arbuthnot & Company Limited,Diversified,Diversified,Diversified
NSE:GILLETTE-EQ,Gillette India Limited,Fast Moving Consumer Goods,Personal Products,Personal Care
NSE:GINNIFILA-EQ,Ginni Filaments Limited,Textiles,Textiles & Apparels,Other Textile Products
NSE:GIPCL-EQ,Gujarat Industries Power Company Limited,Power,Power,Power Generation
NSE:GKENERGY-EQ,GK Energy Limited,Construction,Construction,Civil Construction
NSE:GKSL-EQ,Gujarat Kidney And Super Speciality Limited,Healthcare,Healthcare Services,Hospital
NSE:GKWLIMITED-EQ,GKW Limited,Financial Services,Finance,Investment Company
NSE:GLAND-EQ,Gland Pharma Limited,Healthcare,Pharmaceuticals & Biotechnology,Pharmaceuticals
NSE:GLAXO-EQ,GlaxoSmithKline Pharmaceuticals Limited,Healthcare,Pharmaceuticals & Biotechnology,Pharmaceuticals
NSE:GLENMARK-EQ,Glenmark Pharmaceuticals Limited,Healthcare,Pharmaceuticals & Biotechnology,Pharmaceuticals
NSE:GLFL-BE,Gujarat Lease Financing Limited,Financial Services,Finance,Other Financial Services
NSE:GLOBAL-EQ,Global Education Limited,Consumer Services,Other Consumer Services,Education
NSE:GLOBALE-BE,Globale Tessile Limited,Textiles,Textiles & Apparels,Trading - Textile Products
NSE:GLOBALVECT-EQ,Global Vectra Helicorp Limited,Services,Transport Services,Airline
NSE:GLOBE-EQ,GLOBE ENTERPRISES (INDIA) LIMITED,Textiles,Textiles & Apparels,Other Textile Products
NSE:GLOBECIVIL-BE,Globe Civil Projects Limited,Construction,Construction,Civil Construction
